scan_id,step,angle_deg,distance_cm
368,73764,295.2,61.9
368,73765,297.0,62.18
368,73766,298.8,62.47
368,73767,300.6,62.79
368,73768,302.4,63.11
368,73769,304.2,63.46
368,73770,306.0,63.82
368,73771,307.8,64.2
368,73772,309.6,64.59
368,73773,311.4,65.0
368,73774,313.2,65.42
368,73775,315.0,65.86
368,73776,316.8,66.31
368,73777,318.6,66.77
368,73778,320.4,67.25
368,73779,322.2,67.74
368,73780,324.0,68.24
368,73781,325.8,68.76
368,73782,327.6,69.28
368,73783,329.4,69.82
368,73784,331.2,70.36
368,73785,333.0,70.92
368,73786,334.8,71.48
368,73787,336.6,72.06
368,73788,338.4,72.64
368,73789,340.2,73.23
368,73790,342.0,73.82
368,73791,343.8,74.42
368,73792,345.6,75.03
368,73793,347.4,75.64
368,73794,349.2,76.25
368,73795,351.0,76.87
368,73796,352.8,77.49
368,73797,354.6,78.12
368,73798,356.4,78.74
368,73799,358.2,79.37
369,73800,0.0,80.0
369,73801,1.8,80.63
369,73802,3.6,81.26
369,73803,5.4,81.88
369,73804,7.2,82.51
369,73805,9.0,83.13
369,73806,10.8,83.75
369,73807,12.6,84.36
369,73808,14.4,84.97
369,73809,16.2,85.58
369,73810,18.0,86.18
369,73811,19.8,86.77
369,73812,21.6,87.36
369,73813,23.4,87.94
369,73814,25.2,88.52
369,73815,27.0,89.08
369,73816,28.8,89.64
369,73817,30.6,90.18
369,73818,32.4,90.72
369,73819,34.2,91.24
369,73820,36.0,91.76
369,73821,37.8,92.26
369,73822,39.6,92.75
369,73823,41.4,93.23
369,73824,43.2,93.69
369,73825,45.0,94.14
369,73826,46.8,94.58
369,73827,48.6,95.0
369,73828,50.4,95.41
369,73829,52.2,95.8
369,73830,54.0,96.18
369,73831,55.8,96.54
369,73832,57.6,96.89
369,73833,59.4,97.21
369,73834,61.2,97.53
369,73835,63.0,97.82
369,73836,64.8,98.1
369,73837,66.6,98.36
369,73838,68.4,98.6
369,73839,70.2,98.82
369,73840,72.0,99.02
369,73841,73.8,99.21
369,73842,75.6,99.37
369,73843,77.4,99.52
369,73844,79.2,99.65
369,73845,81.0,99.75
369,73846,82.8,99.84
369,73847,84.6,99.91
369,73848,86.4,99.96
369,73849,88.2,99.99
369,73850,90.0,100.0
369,73851,91.8,99.99
369,73852,93.6,99.96
369,73853,95.4,99.91
369,73854,97.2,99.84
369,73855,99.0,99.75
369,73856,100.8,99.65
369,73857,102.6,99.52
369,73858,104.4,99.37
369,73859,106.2,99.21
369,73860,108.0,99.02
369,73861,109.8,98.82
369,73862,111.6,98.6
369,73863,113.4,98.36
369,73864,115.2,98.1
369,73865,117.0,97.82
369,73866,118.8,97.53
369,73867,120.6,97.21
369,73868,122.4,96.89
369,73869,124.2,96.54
369,73870,126.0,96.18
369,73871,127.8,95.8
369,73872,129.6,95.41
369,73873,131.4,95.0
369,73874,133.2,94.58
369,73875,135.0,94.14
369,73876,136.8,93.69
369,73877,138.6,93.23
369,73878,140.4,92.75
369,73879,142.2,92.26
369,73880,144.0,91.76
369,73881,145.8,91.24
369,73882,147.6,90.72
369,73883,149.4,90.18
369,73884,151.2,89.64
369,73885,153.0,89.08
369,73886,154.8,88.52
369,73887,156.6,87.94
369,73888,158.4,87.36
369,73889,160.2,86.77
369,73890,162.0,86.18
369,73891,163.8,85.58
369,73892,165.6,84.97
369,73893,167.4,84.36
369,73894,169.2,83.75
369,73895,171.0,83.13
369,73896,172.8,82.51
369,73897,174.6,81.88
369,73898,176.4,81.26
369,73899,178.2,80.63
369,73900,180.0,80.0
369,73901,181.8,79.37
369,73902,183.6,78.74
369,73903,185.4,78.12
369,73904,187.2,77.49
369,73905,189.0,76.87
369,73906,190.8,76.25
369,73907,192.6,75.64
369,73908,194.4,75.03
369,73909,196.2,74.42
369,73910,198.0,73.82
369,73911,199.8,73.23
369,73912,201.6,72.64
369,73913,203.4,72.06
369,73914,205.2,71.48
369,73915,207.0,70.92
369,73916,208.8,70.36
369,73917,210.6,69.82
369,73918,212.4,69.28
369,73919,214.2,68.76
369,73920,216.0,68.24
369,73921,217.8,67.74
369,73922,219.6,67.25
369,73923,221.4,66.77
369,73924,223.2,66.31
369,73925,225.0,65.86
369,73926,226.8,65.42
369,73927,228.6,65.0
369,73928,230.4,64.59
369,73929,232.2,64.2
369,73930,234.0,63.82
369,73931,235.8,63.46
369,73932,237.6,63.11
369,73933,239.4,62.79
369,73934,241.2,62.47
369,73935,243.0,62.18
369,73936,244.8,61.9
369,73937,246.6,61.64
369,73938,248.4,61.4
369,73939,250.2,61.18
369,73940,252.0,60.98
369,73941,253.8,60.79
369,73942,255.6,60.63
369,73943,257.4,60.48
369,73944,259.2,60.35
369,73945,261.0,60.25
369,73946,262.8,60.16
369,73947,264.6,60.09
369,73948,266.4,60.04
369,73949,268.2,60.01
369,73950,270.0,60.0
369,73951,271.8,60.01
369,73952,273.6,60.04
369,73953,275.4,60.09
369,73954,277.2,60.16
369,73955,279.0,60.25
369,73956,280.8,60.35
369,73957,282.6,60.48
369,73958,284.4,60.63
369,73959,286.2,60.79
369,73960,288.0,60.98
369,73961,289.8,61.18
369,73962,291.6,61.4
369,73963,293.4,61.64
369,73964,295.2,61.9
369,73965,297.0,62.18
369,73966,298.8,62.47
369,73967,300.6,62.79
369,73968,302.4,63.11
369,73969,304.2,63.46
369,73970,306.0,63.82
369,73971,307.8,64.2
369,73972,309.6,64.59
369,73973,311.4,65.0
369,73974,313.2,65.42
369,73975,315.0,65.86
369,73976,316.8,66.31
369,73977,318.6,66.77
369,73978,320.4,67.25
369,73979,322.2,67.74
369,73980,324.0,68.24
369,73981,325.8,68.76
369,73982,327.6,69.28
369,73983,329.4,69.82
369,73984,331.2,70.36
369,73985,333.0,70.92
369,73986,334.8,71.48
369,73987,336.6,72.06
369,73988,338.4,72.64
369,73989,340.2,73.23
369,73990,342.0,73.82
369,73991,343.8,74.42
369,73992,345.6,75.03
369,73993,347.4,75.64
369,73994,349.2,76.25
369,73995,351.0,76.87
369,73996,352.8,77.49
369,73997,354.6,78.12
369,73998,356.4,78.74
369,73999,358.2,79.37
370,74000,0.0,80.0
370,74001,1.8,80.63
370,74002,3.6,81.26
370,74003,5.4,81.88
370,74004,7.2,82.51
370,74005,9.0,83.13
370,74006,10.8,83.75
370,74007,12.6,84.36
370,74008,14.4,84.97
370,74009,16.2,85.58
370,74010,18.0,86.18
370,74011,19.8,86.77
370,74012,21.6,87.36
370,74013,23.4,87.94
370,74014,25.2,88.52
370,74015,27.0,89.08
370,74016,28.8,89.64
370,74017,30.6,90.18
370,74018,32.4,90.72
370,74019,34.2,91.24
370,74020,36.0,91.76
370,74021,37.8,92.26
370,74022,39.6,92.75
370,74023,41.4,93.23
370,74024,43.2,93.69
370,74025,45.0,94.14
370,74026,46.8,94.58
370,74027,48.6,95.0
370,74028,50.4,95.41
370,74029,52.2,95.8
370,74030,54.0,96.18
370,74031,55.8,96.54
370,74032,57.6,96.89
370,74033,59.4,97.21
370,74034,61.2,97.53
370,74035,63.0,97.82
370,74036,64.8,98.1
370,74037,66.6,98.36
370,74038,68.4,98.6
370,74039,70.2,98.82
370,74040,72.0,99.02
370,74041,73.8,99.21
370,74042,75.6,99.37
370,74043,77.4,99.52
370,74044,79.2,99.65
370,74045,81.0,99.75
370,74046,82.8,99.84
370,74047,84.6,99.91
370,74048,86.4,99.96
370,74049,88.2,99.99
370,74050,90.0,100.0
370,74051,91.8,99.99
370,74052,93.6,99.96
370,74053,95.4,99.91
370,74054,97.2,99.84
370,74055,99.0,99.75
370,74056,100.8,99.65
370,74057,102.6,99.52
370,74058,104.4,99.37
370,74059,106.2,99.21
370,74060,108.0,99.02
370,74061,109.8,98.82
370,74062,111.6,98.6
370,74063,113.4,98.36
370,74064,115.2,98.1
370,74065,117.0,97.82
370,74066,118.8,97.53
370,74067,120.6,97.21
370,74068,122.4,96.89
370,74069,124.2,96.54
370,74070,126.0,96.18
370,74071,127.8,95.8
370,74072,129.6,95.41
370,74073,131.4,95.0
370,74074,133.2,94.58
370,74075,135.0,94.14
370,74076,136.8,93.69
370,74077,138.6,93.23
370,74078,140.4,92.75
370,74079,142.2,92.26
370,74080,144.0,91.76
370,74081,145.8,91.24
370,74082,147.6,90.72
370,74083,149.4,90.18
370,74084,151.2,89.64
370,74085,153.0,89.08
370,74086,154.8,88.52
370,74087,156.6,87.94
370,74088,158.4,87.36
370,74089,160.2,86.77
370,74090,162.0,86.18
370,74091,163.8,85.58
370,74092,165.6,84.97
